ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0289685,Daava,1997,145 min,4.5,562,"Action, Drama, Romance            ",hindi
tt5308442,Kharidaar,1978,-,-,-,Drama            ,hindi
tt0397119,Aalippazham,2002– ,-,-,-,-,malayalam
tt3635538,Sabar,1996,-,-,-,Drama            ,hindi
tt8719276,Saavi,1985,125 min,4.9,7,Thriller            ,tamil
tt0247911,Aap Mujhe Achche Lagne Lage,2002,180 min,3.1,"2,330","Action, Drama, Romance            ",hindi
tt4885010,Izzat Aabroo,2005,-,-,-,Thriller            ,hindi
tt0279507,Vrindavanam,1974,-,-,-,-,malayalam
tt0400617,Mafia,1996,128 min,5.0,59,Action            ,hindi
tt0156334,Bandhur Path,1949,-,-,-,-,bengali
tt2679274,Kamsin,1992,-,-,-,Romance            ,hindi
tt13636608,Mulaqat,2020,-,-,-,"Short, Musical            ",urdu
tt1450700,Arjun V/S Destiny,2009,46 min,-,-,Mystery            ,hindi
tt0240846,Radha Enna Pennkutti,1979,-,-,-,-,malayalam
tt4865436,Hate Story 3,2015,126 min,4.5,"2,996","Drama, Thriller            ",hindi
tt0292187,Pingami,1994,138 min,7.4,484,"Action, Comedy, Drama            ",malayalam
tt5542268,Santushti,2015 TV Movie,-,-,-,Music            ,nepali
tt8302394,Shehjar,2019,120 min,-,-,"Adventure, Drama, Mystery            ",hindi
tt5495236,Itihaas,2002,155 min,7.1,58,"Action, Crime, Drama            ",bengali
tt6512958,Aankhon Aankhon Mein,1978,-,-,-,Drama            ,urdu
tt6623234,Majanu,2001,149 min,-,-,Drama            ,kannada
tt9145616,Mol,2015,-,7.4,9,Drama            ,oriya
-,Mangalyam,,-,-,-,-,malayalam
tt3760836,Arjun Dada,1993,-,-,-,Action            ,hindi
tt4411828,Mere Meharban,1992,-,-,-,Romance            ,hindi
tt0318754,Thendral Varum Theru,1994,138 min,-,-,-,tamil
tt0237363,Kamaladalam,1992,154 min,7.9,475,"Drama, Musical            ",malayalam
tt6911818,Nodijon,2015,127 min,8.1,12,Drama            ,bengali
tt4649208,Pachtawa,1996,-,-,-,Action            ,punjabi
tt9450228,Muqabla,1941,-,-,-,Drama            ,hindi
tt1451797,Rann,2010,137 min,6.9,"2,449","Drama, Mystery, Thriller            ",hindi
tt0243396,Maan Gaye Ustaad,1981,-,6.0,16,Drama            ,hindi
tt0085776,Katha,1983,141 min,7.8,"1,088","Comedy, Drama            ",hindi
tt1587141,Ek Je Chhilo Bagh,1973,-,-,-,Drama            ,bengali
tt1584020,Dui Nari,1963,86 min,-,-,Drama            ,bengali
tt0248188,Modalatedi,1955,165 min,-,-,-,kannada
tt2171464,Eri Naam Dosti,2001,156 min,6.1,9,"Action, Drama, Romance            ",bengali
tt0245007,Bhukler Sheshey,1952,-,-,-,-,bengali
tt2188805,Login,2012,125 min,6.1,99,"Drama, Thriller            ",hindi
tt1270768,Ishq Ho Gaya Mamu,2008,100 min,-,-,Comedy            ,hindi
tt7634598,Task,,-,-,-,"Comedy, Thriller            ",hindi
tt0237022,Balika Badhu,1976,111 min,7.0,221,"Comedy, Drama, Romance            ",hindi
tt0322010,Dheuer Pare Dheu,1962,100 min,-,-,Drama            ,bengali
tt2028553,Stand By,2011,-,6.3,25,"Drama, Sport, Thriller            ",gujarati
tt0459577,Twinkle Twinkle Little Star,2005,-,5.1,7,Fantasy            ,malayalam
tt0454435,'D',2005,107 min,6.8,"1,181","Crime, Drama, Thriller            ",hindi
tt0307866,Filhaal...,2002,151 min,5.5,241,"Drama, Romance            ",hindi
tt6175228,Hum Panchi Ek Daal Ke,2003,-,5.1,14,"Adventure, Fantasy            ",hindi
tt0375056,Shaheed,1962,125 min,-,-,-,urdu
tt11091984,Saajan Chale Sasural 2,2016,122 min,-,-,Drama            ,bhojpuri
tt0254999,Bhuvana Sundari Katha,1967,155 min,5.5,8,"Action, Adventure, Drama            ",telugu
tt2228212,Siyaah..,2013,115 min,5.6,122,"Horror, Thriller            ",urdu
-,Raksha Bandhan,2021,-,-,-,"Drama, Family            ",hindi
tt0833463,Hee Porgi Kunachi,2006,130 min,5.9,16,"Comedy, Drama            ",marathi
tt11423326, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
tt3269084,Nila,1994,-,-,-,Drama            ,tamil
tt1097209,"Ami, Yasin Ar Amar Madhubala",2007,115 min,6.3,55,Drama            ,bengali
tt10137078,VEERAPPATHAKKAM,1994,150 min,-,-,Drama            ,hindi
tt8976498,Jenma Natchathiram,1991,117 min,6.2,5,Drama            ,tamil
tt0271771,Sangham,1988,129 min,6.7,148,"Comedy, Drama            ",malayalam
tt5739792,Jayjaykar,2014,-,8.3,10,Drama            ,marathi
tt0430647,Sun Sajna,1982,138 min,6.3,21,"Drama, Family, Romance            ",hindi
tt0451851,Pak Daman,1940,-,-,-,-,hindi
tt0259433,Meenamasathile Sooryan,1985,117 min,6.0,6,Drama            ,malayalam
tt3442708,Uyirmel Aasai,1967,-,-,-,-,tamil
tt3812452,Paisa Yaar N Panga,2014,-,5.9,18,Comedy            ,punjabi
tt12747740,The Life Kung-Fu,2012,-,-,-,Action            ,hindi
tt2325507,Achal Rahe Suhaag,2012,221 min,-,-,Thriller            ,bhojpuri
tt5169256,Being with You: Nee Ennarike,2007 Video,-,-,-,"Short, Romance            ",malayalam
tt8364356,Haami,2018,133 min,8.0,"1,045",Drama            ,bengali
tt0147973,Chanda Aur Bijli,1969,137 min,4.8,16,Drama            ,hindi
tt0158106,Pralhad,1952,65 min,-,-,Drama            ,bengali
tt1467065,Shakti Leelai,1972,163 min,-,-,Fantasy            ,tamil
tt4125324,@Andheri,2014,116 min,4.0,10,"Action, Crime, Thriller            ",malayalam
tt1351302,Sacha Jhoota,1974,-,-,-,-,urdu
tt9057096,Sudhu Tomaree Pratiksha,2018,106 min,-,-,Drama            ,bengali
tt4470938,Rani Kuthir Baki Itihash,2006,96 min,6.5,46,Mystery            ,bengali
tt7243910,Rachna No Dabbo,2017,138 min,6.9,9,Romance            ,gujarati
tt1279229,Khaidi Kalidasu,1977,141 min,8.3,29,"Action, Drama            ",telugu
tt0275649,Sannaham,1985,-,-,-,-,malayalam
tt0154743,Kokila,1937,-,-,-,-,hindi
tt10319942,Cheekh,2019– ,-,8.4,175,Drama            ,urdu
tt2256833,Seedlings,II 2013,93 min,7.1,160,Drama            ,urdu
tt0062918,Duniya,1968,-,7.1,60,"Crime, Drama            ",hindi
tt14318038,Ishq Rog,1988,-,-,-,-,punjabi
-,KTM,2021,-,-,-,Drama            ,kannada
tt14168186,Muktha-Thaju,2021 TV Special,-,-,-,Romance            ,malayalam
tt11363276,360 Degree,2014,-,-,-,Short            ,malayalam
tt0156092,Sohag,1940,-,-,-,-,hindi
tt0222024,Hum Tumhare Hain Sanam,2002,174 min,5.4,"6,508","Drama, Romance            ",hindi
tt0357825,Kalagi Tura,1955,-,-,-,Musical            ,marathi
tt0277780,Kattu Kuthira,1990,-,7.7,39,Drama            ,malayalam
tt12071774,Jalsa Rayudu,2020,-,-,-,Action            ,telugu
tt0376768,Mohabbat Ki Kasam,1986,-,5.8,12,"Action, Drama            ",hindi
tt3429824,Mundu,1983,-,-,-,Drama            ,hindi
tt1219349,Jau Tithe Khau,2007,125 min,7.0,41,Comedy            ,marathi
tt1473094,Pasam,1962,-,7.5,10,-,tamil
tt8451186,Jionde Aan,2018,-,-,-,Thriller            ,punjabi
tt4335954,My Birthday Song,2018,95 min,5.5,254,Thriller            ,hindi
tt6352592,Happy New Year,III 2017,-,7.7,7,Romance            ,nepali
tt10738722,Samsara,2019,-,6.5,8,Thriller            ,bengali
tt0259612,Tatamma Kala,1974,158 min,8.2,52,Drama            ,telugu
tt4332804,The Power of Woman: Tezaab,2004,-,-,-,Action            ,hindi
tt0273527,Dharti Mata,1938,165 min,-,-,Drama            ,hindi
-,Kakababur Protyaborton,2021,-,-,-,"Action, Adventure, Crime            ",bengali
tt9020606,Best Friends Forever,II 2016,-,-,-,Drama            ,nepali
tt13086182,Dream Girl,II 2017,141 min,-,-,Drama            ,kannada
tt1592735,Chath: A Roof Without Walls,2007,93 min,-,-,"Drama, Thriller            ",hindi
tt6680010,Saalai,II 2017,94 min,-,-,"Adventure, Fantasy, Mystery            ",tamil
tt5389902,Lacchimdeviki O Lekkundi,2016,107 min,5.1,42,"Comedy, Thriller            ",telugu
tt4709524,Rani Chandravati,1968,-,-,-,Drama            ,hindi
tt0215905,Kirti,1942,-,-,-,-,hindi
tt4525976,Naag Laxmi: The Protector,2001,-,-,-,Fantasy            ,hindi
tt7581170,Case No 130/2016,2018,102 min,-,-,Drama            ,kannada
tt3055246,David and Goliath,2013,-,4.3,68,Drama            ,malayalam
tt1573072,Housefull,2010,144 min,5.4,"12,948",Comedy            ,gujarati
tt0371922,Saaya,2003,135 min,5.8,899,"Drama, Fantasy, Mystery            ",hindi
tt8815472,Fishy,2019,-,-,-,"Sci-Fi, Thriller            ",bengali
tt0377452,Bansaria,1949,-,-,-,-,hindi
tt11138290,Naan Sirithaal,2020,139 min,5.3,521,"Comedy, Drama            ",tamil
tt1567420,Shubhamkaroti,1993,-,-,-,-,marathi
tt1669226,Shehnai,1968,-,-,-,-,urdu
tt5271442,Maalik,2016,155 min,8.3,"3,687","Action, Crime, Drama            ",oriya
tt0395702,Parbat Ke Us Paar,1988,-,4.6,5,"Drama, Romance            ",hindi
tt0046741,Baghdad,1952,-,6.5,11,"Adventure, Fantasy            ",hindi
tt0271468,Donga Kollu,1988,98 min,6.5,25,"Comedy, Drama            ",telugu
tt4582324,Oru Thundu Padam,2013,18 min,7.0,22,"Short, Comedy            ",malayalam
tt0150101,Chhadmabeshi,1971,122 min,8.1,212,Comedy            ,bengali
tt8784618,Nippulanti manishi,1986,128 min,-,-,Action            ,telugu
tt4616354,Nana Vagar No Nathiyo,1984,-,-,-,Romance            ,gujarati
tt0269613,Neethipathi,1955,-,-,-,-,tamil
tt0317056,Adimai Penn,1969,180 min,7.2,76,Drama            ,tamil
tt10183936,Dhanya Wagh,2016,141 min,-,-,-,marathi
tt11338806,Abel's Weekend,2020,10 min,-,-,"Short, Romance            ",malayalam
tt11306856,Ranasthalam,2019,125 min,-,-,Drama            ,telugu
tt0278680,Rosa I Love You,1990,-,-,-,-,malayalam
tt2006247,Taqdeer Ka Sikander,2002,-,5.8,6,Action            ,hindi
tt0448552,Immini Nalloraal,2005,-,2.4,116,"Comedy, Romance            ",malayalam
tt0391799,Bhagwat Mahima,1955,-,-,-,Fantasy            ,hindi
tt1417299,Unnaipol Oruvan,2009,106 min,8.0,"5,306","Action, Crime, Drama            ",tamil
tt0463345,My Brother's Wife,2005,89 min,6.1,"3,153",Drama            ,punjabi
tt3805052,Adavi Kaachina Vennela,2014,129 min,5.8,17,-,telugu
tt10942220,Kabaddi Kabaddi Kabaddi,2019,115 min,8.3,92,"Comedy, Drama, Romance            ",nepali
tt13497948,21st Love,2018–2019,360 min,-,-,Drama            ,nepali
tt0378121,Jadni Bansari,1948,-,-,-,-,hindi
tt8921800,Neeyum Naanum,2018,136 min,7.3,25,Romance            ,tamil
-,Mafroor the Fugitive,,110 min,-,-,"Action, Thriller            ",urdu
tt2726950,Damad Chahiye,1985,-,-,-,Comedy            ,hindi
tt14216878,Nehla Dehla,1994,-,-,-,-,punjabi
tt11436196,Sakkhee an Eye Witness,2020,-,-,-,Family            ,bengali
tt1418677,Hochheta Ki?,2008,145 min,6.3,15,Comedy            ,bengali
tt1579732,Asala Sandadi,1998,-,-,-,Drama            ,telugu
tt4201922,My Dear Nancy,2000,-,-,-,Thriller            ,hindi
tt1584014,Binsati Janani,1964,-,-,-,Drama            ,bengali
tt9030294,Maanagara Kaaval,1991,150 min,5.9,17,"Action, Drama            ",tamil
tt0396684,Kasthuriman,2003,141 min,6.7,296,"Drama, Romance            ",malayalam
tt6367610,Bahniman,2016,140 min,7.9,16,"Action, Drama            ",assamese
tt2126336,Nuvvila,2011,139 min,6.8,119,"Comedy, Drama, Romance            ",telugu
tt0273306,Kanmadam,1998,162 min,7.2,376,Drama            ,malayalam
tt1999199,Love Kaa Taddka,2009,-,4.7,28,"Comedy, Drama            ",gujarati
tt5005142,Dhara 302,2016,148 min,4.4,16,Drama            ,hindi
tt1579980,Nakshatra Poratam,1993,143 min,-,-,Action            ,telugu
tt7580994,Ye Mantram Vesave,2018,123 min,3.9,209,Drama            ,telugu
tt7007456,Dui Thopa Aansu,1993,-,8.5,10,Drama            ,nepali
tt1675194,Vijay IPS,2006,-,6.3,6,"Action, Drama            ",telugu
tt0214707,Gautam Govinda,1979,131 min,6.1,57,"Action, Crime, Drama            ",hindi
tt1191138,Thoda Pyaar Thoda Magic,2008,145 min,4.9,"2,355","Comedy, Drama, Family            ",hindi
tt3657368,Aakhri Mohabbat,1994,-,-,-,Romance            ,hindi
tt11423250, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
tt11718526,Ninnila Ninnila,2021,118 min,7.5,731,"Comedy, Romance            ",telugu
tt0277337,Soundarya Pooja,1973,-,-,-,-,malayalam
tt7813284, Burka Avenger,2013–2016,-,-,-,"Animation, Action, Adventure            ",urdu
tt7928150,Daiva Kuzhandigal,1973,-,-,-,-,tamil
tt3219268,Idharkuthane Aasaipattai Balakumara,2013,136 min,7.1,"1,624",Comedy            ,tamil
tt2761592,Mohabbat Aur Jung,1967,-,-,-,"Action, Romance            ",hindi
tt3705672,Arundhati,2014,134 min,4.9,154,Drama            ,bengali
tt0362069,Raktha Tilakam,1988,-,6.7,15,-,telugu
tt9830296,Kaum De Heere2,2014,-,-,-,-,punjabi
tt0155548,Bhedi Bungla,1949,-,-,-,"Comedy, Horror            ",hindi
tt0247226,Brahma Ratham,1949,-,-,-,-,telugu
-,Boro Eka Lage,,140 min,-,-,Romance            ,bengali
tt1431112,Meenava Nanban,1977,-,5.9,18,-,tamil
tt9614884,Austad,2019,92 min,-,-,Drama            ,bengali
tt0186874,Bhoga Bhagyalu,1981,-,4.9,8,-,telugu
tt8698292,Bharatha Simham,1995,131 min,-,-,Drama            ,telugu
tt1575606,Lakshmi Putrudu,2008,-,-,-,Drama            ,telugu
tt3429820,Hanuman Chalisa,1969,-,-,-,Drama            ,hindi
tt2385161,Padmavyooham,2012,-,-,-,Thriller            ,malayalam
-,Taabeer,,93 min,-,-,"Action, Drama, Thriller            ",hindi
tt0358950,Asli Naqli,1986,128 min,4.3,38,Drama            ,hindi
tt6501192,Hostel,II 2013,135 min,6.0,39,Drama            ,nepali
tt0154316,Chhanda Patan,1974,-,-,-,Drama            ,bengali
tt0364050,Touhean,1989,135 min,7.8,5,"Drama, Family            ",hindi
tt4518414,Dakbaksho,2015,112 min,6.4,19,"Drama, Mystery, Romance            ",bengali
tt0352745,Priyamvadakkoru Pranayageethom,1986,-,-,-,-,malayalam
-,A Separate Sky,2021,-,-,-,Drama            ,hindi
tt9381984,Manwah,2018 Video,-,-,-,"Short, Music            ",malayalam
-,Antardhwani,,105 min,-,-,Mystery            ,hindi
tt0250372,Ezhupunna Tharakan,1999,134 min,4.5,110,"Action, Drama            ",malayalam
tt14350960,Meri Shadi Karwao,2012,-,-,-,-,punjabi
tt0140399,Muthu,1995,132 min,7.6,"2,674","Action, Comedy, Drama            ",tamil
tt3322506,Geethanjali,2013,150 min,3.8,428,Thriller            ,malayalam
tt4701840,The Palmist,2014,89 min,-,-,"Drama, Mystery, Romance            ",nepali
tt12694898,Gustakh,2020– ,-,-,-,Drama            ,urdu
-,Paachuvum Albhuthavilakkum,2021,-,-,-,Comedy            ,malayalam
tt3332772,Priyatama,2014,-,7.7,21,Romance            ,marathi
tt0121232,Dulaara,1994,-,4.7,255,"Comedy, Crime, Drama            ",hindi
tt1941638,Sadda Adda,2012,130 min,7.1,"1,332","Comedy, Drama, Romance            ",hindi
tt4966286,Agni Jwala,2001,-,-,-,Action            ,tamil
tt9391268, Teetoo and Tania,2017–2018,-,-,-,"Animation, Adventure, Biography            ",urdu
tt3462486,Hukum ka ekka,1964,-,-,-,Thriller            ,hindi
tt13399848,The Love Style,2021,-,-,-,Romance            ,hindi
tt0093604,Nazrana,1987,-,6.2,86,Romance            ,hindi
tt4712628,Mathai Kuzhappakkaranalla,2014,110 min,4.1,58,"Comedy, Drama            ",malayalam
-,Lappan Chappan 2,,-,-,-,Action            ,nepali
tt1392100,Bandhana,1984,139 min,7.5,111,"Drama, Musical, Romance            ",kannada
tt2342061,Devudu Chesina Manushulu,2012,124 min,3.6,554,"Action, Comedy, Fantasy            ",telugu
tt12759986,Roshni - Tamaasha,2019,5 min,-,-,"Short, Music            ",urdu
tt1981649,Khamosh Raho,2011,-,7.0,24,-,urdu
tt1445756,Thangaikkaga,1971,-,-,-,-,tamil
tt5460758,Dubhang,2011,-,-,-,Action            ,marathi
tt0255047,Chekuthante Kotta,1967,-,-,-,-,malayalam
tt0363564,Dhusar Godhuli,1994,143 min,6.7,10,Drama            ,bengali
tt14230130,Saheli,1978,-,-,-,-,urdu
tt5764836,Dulhan Chahi Pakistan Se,2016,159 min,5.8,16,"Action, Drama, Family            ",bhojpuri
tt9740730,Soothrakkaran,2019,147 min,4.4,69,"Family, Thriller            ",malayalam
tt9319922,Sur sur batthi,2018,-,-,-,Comedy            ,kannada
tt11042658,Gantumoote,2019,115 min,8.1,640,Drama            ,kannada
tt13563230,Pachai Nirame,2008,145 min,-,-,Drama            ,tamil
tt14090796,Malli,2014,-,-,-,Drama            ,kannada
tt6958030,1921,2018,144 min,4.4,"1,047","Horror, Mystery, Romance            ",urdu
tt0186849,Balanagamma,1981,-,4.8,11,-,tamil
tt8484614,Bhootwali Love Story,2018,109 min,-,-,Comedy            ,hindi
tt0956244,Sridevi,1970,-,-,-,Drama            ,telugu
tt0158071,Pasand Apni Apni,1983,-,6.9,81,Comedy            ,hindi
tt13802376,The Power,I 2021,153 min,5.3,"1,361","Action, Thriller            ",tamil
tt1445708,Oorum Uravum,1982,-,-,-,-,tamil
tt12819590,Aulad,2014,-,-,-,Drama            ,rajastani
tt13156174,Faasle,2020,145 min,-,-,Drama            ,hindi
tt0258705,Kavitha,1962,-,-,-,-,tamil
tt0233146,Asmaan Se Ooncha,1989,-,5.0,53,"Action, Drama, Family            ",hindi
tt9086244,Baba Jani,2018– ,-,8.4,42,"Drama, Family, Romance            ",oriya
tt5871692,Split Ends,2016,26 min,-,-,"Documentary, Short            ",nepali
tt0258912,Ramalinga Swamigal,1939,-,-,-,-,tamil
tt0347416,LOC: Kargil,2003,255 min,5.2,"2,551","Drama, History, War            ",hindi
tt5648016,Friends,II 2016,-,7.1,20,Comedy            ,marathi
tt0371511,Adadani Saval,1983,-,-,-,Musical            ,telugu
tt0109010,1942: A Love Story,1994,157 min,7.2,"3,191","Action, Drama, History            ",hindi
tt0453188,Priyasakhi,2005,157 min,4.6,148,"Drama, Family, Romance            ",tamil
tt0246428,Angaray,2000,-,4.5,17,-,urdu
tt5494876,Talash,1963,-,-,-,Drama            ,urdu
tt0368079,Nishaan,1983,131 min,6.2,42,"Action, Drama, Family            ",hindi
tt8223250,Bioscopewala,2017,91 min,7.6,863,Drama            ,hindi
tt2955938,Azadi,1972,-,-,-,Drama            ,urdu
tt0234405,Othenente Makan,1970,-,-,-,-,malayalam
tt1579898,Valliddaru Okkate,2004,-,-,-,Romance            ,telugu
tt7490506,Dil Nawaz,2017– ,40 min,9.0,67,Horror            ,urdu
tt1407940,Bangaarada Panjara,1973,165 min,8.1,76,Comedy            ,kannada
tt4248672,Aa Te Kevi Dunniya,2015,126 min,6.8,36,"Comedy, Drama            ",gujarati
tt0282139,"Satyam, Shivam, Sundaram",2000,148 min,5.7,154,"Comedy, Drama            ",malayalam
-,Siddhart (The Journey),,-,-,-,Drama            ,hindi
tt0049707,Sagarika,1956,152 min,7.2,107,"Drama, Romance            ",bengali
tt4114962,I'm Locked,2007 TV Movie,41 min,-,-,Drama            ,urdu
tt11421324,BOL Champions,2019 TV Special,-,6.7,174,Reality-TV            ,oriya
tt0371908,Raja Saab,1969,144 min,6.3,36,Romance            ,hindi
tt1608777,"LSD: Love, Sex Aur Dhokha",2010,155 min,7.1,"5,310","Comedy, Crime, Drama            ",punjabi
tt7654674,Veera,2018,109 min,4.8,63,Action            ,tamil
tt3720224,Hastak,1993,-,-,-,Drama            ,hindi
tt0281102,Pyaar Tune Kya Kiya...,2001,123 min,5.7,804,"Drama, Romance, Thriller            ",hindi
tt0231460,Dil-E-Nadan,1953,142 min,6.3,9,Romance            ,hindi
tt0904130,Raraju,2006,-,5.0,34,"Action, Drama            ",telugu
tt11586036,Parisam Pottachu,1987,-,-,-,Family            ,tamil
tt3949354,Rifle Girl,1958,-,-,-,Action            ,hindi
tt0139143,Dana Paani,1953,-,-,-,-,hindi
tt3284012, Homeland,2011–2020,49 min,8.3,"3,024","Crime, Drama, Mystery            ",urdu
tt0067403,Maryada,1971,154 min,7.0,58,"Family, Romance            ",hindi
tt5502760,Ghani,2006,109 min,8.2,40,Drama            ,bengali
tt0480732,Shyamol Chhaya,2004,110 min,8.5,"1,944",Drama            ,bengali
tt2140371,Saving Face,2012,40 min,8.0,"1,312","Documentary, Short, Drama            ",oriya
tt1704144,Gaganam,2011,120 min,7.1,935,"Action, Crime, Thriller            ",telugu
tt13449672,Dhira,2020,117 min,5.7,371,Animation            ,malayalam
tt5542830,Mazi Bayko Mazi Mehvani,2016,-,-,-,Drama            ,marathi
tt6449230,Mayakkannadi,2007,180 min,4.6,19,Drama            ,tamil
tt11804030,Sweety Satarkar,2020,118 min,8.2,5,"Comedy, Drama, Family            ",marathi
tt0249562,Haider Ali,1978,-,3.1,26,Biography            ,urdu
tt1356913,Jeevana Jyothi,1987,138 min,7.1,7,-,kannada
tt1687850,Apoorvaragam,2010,-,6.2,264,Drama            ,malayalam
tt6494578,Zeenat,2018,-,-,-,Drama            ,hindi
tt13569588,Prema Khareedu,2006,-,-,-,Romance            ,telugu
tt13299062,Albela Aashiq,1994,-,-,-,Comedy            ,urdu
tt0067183,Haré Rama Haré Krishna,1971,149 min,7.3,764,"Drama, Musical            ",hindi
tt4991828,Adhibar,2015,134 min,2.5,26,"Action, Thriller            ",tamil
tt5572908,Dare You,2016,-,-,-,"Drama, Thriller            ",hindi
tt0269811,Sabse Bada Rupaiya,1955,-,-,-,-,hindi
tt0283417,Jaan-E-Bahaar,1979,-,6.4,7,"Drama, Family, Romance            ",hindi
tt0363921,Raeeszada,1990,149 min,3.8,21,Drama            ,hindi
tt0215468,Adi Parasakthi,1971,-,6.0,22,Drama            ,tamil
tt0252609,Koodapirappu,1956,-,-,-,-,malayalam
tt13522280,Tere Deewano Mein,2014,-,-,-,"Short, Musical            ",urdu
tt14143636,Yodha,2009,152 min,-,-,Drama            ,kannada
tt3896148,Jesi,2021,-,-,-,Horror            ,tamil
tt0316930,Yug Dekhi Yug Samma,1991,-,7.3,32,-,nepali
tt0271625,Makkal Aatchi,1995,146 min,7.1,57,Thriller            ,tamil
tt0045576,Bou Thakuranir Hath,1953,-,6.8,10,Drama            ,bengali
tt3173614,Farmaish,1953,-,-,-,Drama            ,hindi
tt1445687,Muhtukkal Moonru,1987,137 min,5.8,5,-,tamil
tt8500232,Jeevan Rekha,1982,-,-,-,Drama            ,nepali
tt7231546,Kayamkulam Kochunni,2018,152 min,7.0,"2,022","Action, Drama, History            ",malayalam
tt0366229,Bhakta Gora Kumbhara,1947,-,-,-,-,tamil
tt3717810,Rasmon Ki Zanjeer,1999,-,-,-,Drama            ,hindi
tt3801252,Na Maloom Afraad,2014,137 min,7.5,"3,931","Action, Comedy, Crime            ",oriya
tt8976718,Kakkum Kamatchi,1999,104 min,-,-,Drama            ,tamil
tt1445753,Thambathiyam,1987,-,-,-,-,tamil
-,Ghosty,2021,-,-,-,"Comedy, Horror            ",tamil
tt2321365,Jaagor,2009,125 min,-,-,Drama            ,kashmiri
tt5923566,Raater Por Din,1973,-,-,-,Drama            ,bengali
tt4944374,Chanakya the Warrior,2005,-,5.0,8,"Action, Comedy, Crime            ",tamil
tt1999130,Death Zone: Cleaning Mount Everest,2018,99 min,7.5,222,"Documentary, Adventure, Drama            ",nepali
tt8763962,Prema,2017,120 min,-,-,Drama            ,marathi
tt7323910,Prem Joyare,1991,141 min,-,-,Drama            ,bengali
tt6814708,Inheritance,2017 Video,20 min,-,-,"Short, Drama            ",urdu
tt7809456,AWARE,2017,13 min,-,-,"Short, Drama            ",malayalam
tt6128856,Mukhda,1950,-,-,-,Drama            ,punjabi
tt7254796,Black,VI 2015,137 min,4.2,56,Action            ,bengali
tt0262824,Thirugubatu,1985,-,8.8,40,-,telugu
tt10875548,Hiddat,2017,40 min,5.8,6,"Drama, Family, Mystery            ",urdu
-,Thariode: The Lost City,,-,-,-,"Adventure, Drama, History            ",malayalam
tt0378071,Hum Tere Ashiq Hain,1979,-,6.6,23,Drama            ,hindi
tt11757038,Dekha Pehli Baar,2005,108 min,-,-,Romance            ,urdu
tt6867972, Siyaasat,2014– ,-,-,-,History            ,urdu
tt9082590,Javayachi Jaat,1979,134 min,-,-,Family            ,marathi
tt1579515,Abbaigaru,1993,154 min,7.2,65,"Comedy, Drama            ",telugu
tt0156309,Azadi-e-Watan,1940,-,-,-,-,hindi
tt14097274,Anjada Gandu,2014,134 min,-,-,Drama            ,kannada
tt0178211,Ab Ayega Mazaa,1984,128 min,6.6,85,Comedy            ,hindi
tt3848246,Rakhail No 1,2001,-,-,-,Thriller            ,hindi
tt4614360,Ghunghat,1971,-,-,-,Drama            ,gujarati
tt11536216,Shivan,2020,119 min,8.0,49,Drama            ,telugu
tt0243333,Insaaf Main Karoonga,1985,-,6.8,36,"Crime, Mystery, Thriller            ",hindi
tt0395480,Boy Friend,1993,-,4.9,7,Romance            ,hindi
tt9642694,Dharati Na Chhoru,1970,-,-,-,Drama            ,gujarati
tt0253631,Sant Bhanudas,1953,-,-,-,-,marathi
tt4357594,Kanoon Ka Sikandar,2001,-,-,-,Action            ,hindi
tt3660100,How to Set Up a Stitching Business Under Prime Minister's Youth Business Loan Scheme,2014,-,-,-,"Documentary, Short            ",urdu
tt0252255,Bade Sahab,1951,-,-,-,-,hindi
tt4112274,Romeo,II 2014,119 min,5.5,35,Drama            ,telugu
tt11599966,Pagleaazam,2020,123 min,6.3,9,Comedy            ,hindi
tt6715376,Jadai Chhu Sathi,2017 Video,-,-,-,Music            ,nepali
tt0268146,Anurodh,1977,147 min,6.8,157,"Drama, Family            ",hindi
tt10137310,HARJEET,2000,-,-,-,Romance            ,hindi
tt4771774,Nabab Nandini,2007,120 min,6.2,24,"Comedy, Romance            ",bengali
tt0150718,Gharaonda,1977,141 min,6.9,190,"Drama, Romance            ",hindi
tt1764728,Vaddu Bava Tappu,1993,134 min,6.3,21,"Comedy, Romance            ",telugu
tt0373982,Kora Anchal,1973,-,-,-,"Drama, Romance            ",hindi
tt5057456, Coke Studio,2008– ,-,-,-,Music            ,urdu
tt6414274,Jeeva Sakha,1992,-,-,-,Drama            ,marathi
tt0237587,Poonam,1981,138 min,5.2,18,Drama            ,hindi
tt0152278,Sanam,1997,152 min,4.8,84,"Action, Drama, Romance            ",hindi
tt0363795,Mandira,1990,140 min,7.1,12,"Drama, Romance            ",bengali
tt13188574,Mahaveera Machideva,2016,138 min,-,-,Drama            ,kannada
tt3763980,Karaka Kasadara,2005,140 min,2.9,12,Drama            ,tamil
tt8156798,Andhakar,2018 Video,4 min,-,-,"Short, Drama            ",assamese
tt1294135,Ankith Pallavi and Friends,2008,130 min,5.5,26,Drama            ,telugu
tt6007628,Nagesh Thiraiyarangam,2018,128 min,6.6,88,Horror            ,tamil
tt13999106,Plus 2,II 2002,-,-,-,Drama            ,tamil
